Full Name,Weight,Date,Location,Division,Sex,Class,Equipment,Lift,Record Type,Record Name
Standard,112.5,,,T14-15,M,67.5,Bare,D,Single Lift,National
Standard,70,,,T14-15,M,75,Bare,B,Single Lift,National
Standard,130,,,T14-15,M,75,Bare,D,Single Lift,National
Standard,80,,,T14-15,M,82.5,Bare,B,Single Lift,National
Standard,147.5,,,T14-15,M,82.5,Bare,D,Single Lift,National
Standard,82.5,,,T14-15,M,90,Bare,B,Single Lift,National
Standard,155,,,T14-15,M,90,Bare,D,Single Lift,National
Standard,87.5,,,T14-15,M,100,Bare,B,Single Lift,National
Standard,160,,,T14-15,M,100,Bare,D,Single Lift,National
Standard,92.5,,,T14-15,M,110,Bare,B,Single Lift,National
Standard,170,,,T14-15,M,110,Bare,D,Single Lift,National
Standard,97.5,,,T14-15,M,125,Bare,B,Single Lift,National
Standard,177.5,,,T14-15,M,125,Bare,D,Single Lift,National
Standard,105,,,T14-15,M,140,Bare,B,Single Lift,National
Standard,195,,,T14-15,M,140,Bare,D,Single Lift,National
Standard,110,,,T14-15,M,140+,Bare,B,Single Lift,National
Standard,202.5,,,T14-15,M,140+,Bare,D,Single Lift,National
Henlee Knell,80,13/07/2025,East Coast,T14-15DT,M,52,Bare,B,Single Lift,National
Jonah Reynolds Allen,100,27/07/2025,East Midlands,T14-15DT,M,52,Bare,D,Single Lift,National
Standard,55,,,T14-15DT,M,56,Bare,B,Single Lift,National
Standard,100,,,T14-15DT,M,56,Bare,D,Single Lift,National
Standard,60,,,T14-15DT,M,60,Bare,B,Single Lift,National
Standard,110,,,T14-15DT,M,60,Bare,D,Single Lift,National
Bentley Harvey,81,27/07/2025,East Midlands,T14-15DT,M,67.5,Bare,B,Single Lift,National
Bentley Harvey,150,27/07/2025,East Midlands,T14-15DT,M,67.5,Bare,D,Single Lift,National
Josh Everett,100,03/08/2025,Welwyn Garden City,T14-15DT,M,75,Bare,B,Single Lift,National
Standard,140,,,T14-15DT,M,75,Bare,D,Single Lift,National
Standard,80,,,T14-15DT,M,82.5,Bare,B,Single Lift,National
Standard,150,,,T14-15DT,M,82.5,Bare,D,Single Lift,National
Standard,82.5,,,T14-15DT,M,90,Bare,B,Single Lift,National
Standard,152.5,,,T14-15DT,M,90,Bare,D,Single Lift,National
Standard,85,,,T14-15DT,M,100,Bare,B,Single Lift,National
Standard,157.5,,,T14-15DT,M,100,Bare,D,Single Lift,National
Standard,87.5,,,T14-15DT,M,110,Bare,B,Single Lift,National
Standard,160,,,T14-15DT,M,110,Bare,D,Single Lift,National
Standard,90,,,T14-15DT,M,125,Bare,B,Single Lift,National
Standard,165,,,T14-15DT,M,125,Bare,D,Single Lift,National
Standard,92.5,,,T14-15DT,M,140,Bare,B,Single Lift,National
Standard,170,,,T14-15DT,M,140,Bare,D,Single Lift,National
Standard,95,,,T14-15DT,M,140+,Bare,B,Single Lift,National
Standard,175,,,T14-15DT,M,140+,Bare,D,Single Lift,National
Standard,45,,,T16-17,M,52,Bare,B,Single Lift,National
Standard,82.5,,,T16-17,M,52,Bare,D,Single Lift,National
Standard,52.5,,,T16-17,M,56,Bare,B,Single Lift,National
Standard,95,,,T16-17,M,56,Bare,D,Single Lift,National
Standard,57.5,,,T16-17,M,60,Bare,B,Single Lift,National
Standard,107.5,,,T16-17,M,60,Bare,D,Single Lift,National
Standard,72.5,,,T16-17,M,67.5,Bare,B,Single Lift,National
Standard,132.5,,,T16-17,M,67.5,Bare,D,Single Lift,National
Standard,82.5,,,T16-17,M,75,Bare,B,Single Lift,National
Standard,152.5,,,T16-17,M,75,Bare,D,Single Lift,National
Standard,92.5,,,T16-17,M,82.5,Bare,B,Single Lift,National
Standard,172.5,,,T16-17,M,82.5,Bare,D,Single Lift,National
Standard,97.5,,,T16-17,M,90,Bare,B,Single Lift,National
Standard,182.5,,,T16-17,M,90,Bare,D,Single Lift,National
Standard,102.5,,,T16-17,M,100,Bare,B,Single Lift,National
Standard,190,,,T16-17,M,100,Bare,D,Single Lift,National
Standard,107.5,,,T16-17,M,110,Bare,B,Single Lift,National
Standard,200,,,T16-17,M,110,Bare,D,Single Lift,National
Standard,112.5,,,T16-17,M,125,Bare,B,Single Lift,National
Standard,210,,,T16-17,M,125,Bare,D,Single Lift,National
Standard,122.5,,,T16-17,M,140,Bare,B,Single Lift,National
Standard,230,,,T16-17,M,140,Bare,D,Single Lift,National
Standard,127.5,,,T16-17,M,140+,Bare,B,Single Lift,National
Standard,237.5,,,T16-17,M,140+,Bare,D,Single Lift,National
Standard,55,,,T16-17DT,M,52,Bare,B,Single Lift,National
Standard,102.5,,,T16-17DT,M,52,Bare,D,Single Lift,National
Standard,62.5,,,T16-17DT,M,56,Bare,B,Single Lift,National
Standard,115,,,T16-17DT,M,56,Bare,D,Single Lift,National
Standard,70,,,T16-17DT,M,60,Bare,B,Single Lift,National
Standard,127.5,,,T16-17DT,M,60,Bare,D,Single Lift,National
Ryan Ktorides,92.5,12-Jan,North East,T16-17DT,M,67.5,Bare,B,Single Lift,National
Standard,147.5,,,T16-17DT,M,67.5,Bare,D,Single Lift,National
Standard,87.5,,,T16-17DT,M,75,Bare,B,Single Lift,National
Standard,165,,,T16-17DT,M,75,Bare,D,Single Lift,National
Standard,95,,,T16-17DT,M,82.5,Bare,B,Single Lift,National
Standard,175,,,T16-17DT,M,82.5,Bare,D,Single Lift,National
Standard,97.5,,,T16-17DT,M,90,Bare,B,Single Lift,National
Standard,177.5,,,T16-17DT,M,90,Bare,D,Single Lift,National
Standard,100,,,T16-17DT,M,100,Bare,B,Single Lift,National
Standard,182.5,,,T16-17DT,M,100,Bare,D,Single Lift,National
Standard,102.5,,,T16-17DT,M,110,Bare,B,Single Lift,National
Standard,190,,,T16-17DT,M,110,Bare,D,Single Lift,National
Standard,105,,,T16-17DT,M,125,Bare,B,Single Lift,National
Standard,195,,,T16-17DT,M,125,Bare,D,Single Lift,National
Standard,107.5,,,T16-17DT,M,140,Bare,B,Single Lift,National
Standard,200,,,T16-17DT,M,140,Bare,D,Single Lift,National
Standard,110,,,T16-17DT,M,140+,Bare,B,Single Lift,National
Standard,205,,,T16-17DT,M,140+,Bare,D,Single Lift,National
Standard,52.5,,,T18-19,M,52,Bare,B,Single Lift,National
Standard,95,,,T18-19,M,52,Bare,D,Single Lift,National
Standard,60,,,T18-19,M,56,Bare,B,Single Lift,National
Standard,110,,,T18-19,M,56,Bare,D,Single Lift,National
Standard,67.5,,,T18-19,M,60,Bare,B,Single Lift,National
Standard,127.5,,,T18-19,M,60,Bare,D,Single Lift,National
Standard,82.5,,,T18-19,M,67.5,Bare,B,Single Lift,National
Standard,155,,,T18-19,M,67.5,Bare,D,Single Lift,National
Standard,97.5,,,T18-19,M,75,Bare,B,Single Lift,National
Standard,180,,,T18-19,M,75,Bare,D,Single Lift,National
Standard,110,,,T18-19,M,82.5,Bare,B,Single Lift,National
Standard,202.5,,,T18-19,M,82.5,Bare,D,Single Lift,National
Standard,115,,,T18-19,M,90,Bare,B,Single Lift,National
Standard,212.5,,,T18-19,M,90,Bare,D,Single Lift,National
Standard,120,,,T18-19,M,100,Bare,B,Single Lift,National
Standard,222.5,,,T18-19,M,100,Bare,D,Single Lift,National
Standard,125,,,T18-19,M,110,Bare,B,Single Lift,National
Standard,235,,,T18-19,M,110,Bare,D,Single Lift,National
Standard,132.5,,,T18-19,M,125,Bare,B,Single Lift,National
Standard,245,,,T18-19,M,125,Bare,D,Single Lift,National
Standard,145,,,T18-19,M,140,Bare,B,Single Lift,National
Standard,270,,,T18-19,M,140,Bare,D,Single Lift,National
Standard,150,,,T18-19,M,140+,Bare,B,Single Lift,National
Standard,277.5,,,T18-19,M,140+,Bare,D,Single Lift,National
Standard,65,,,T18-19DT,M,52,Bare,B,Single Lift,National
Standard,120,,,T18-19DT,M,52,Bare,D,Single Lift,National
Standard,72.5,,,T18-19DT,M,56,Bare,B,Single Lift,National
Standard,135,,,T18-19DT,M,56,Bare,D,Single Lift,National
Sarunas Barstys,92.5,07/09/2025,Lincoln,T18-19DT,M,60,Bare,B,Single Lift,National
Standard,150,,,T18-19DT,M,60,Bare,D,Single Lift,National
Standard,92.5,,,T18-19DT,M,67.5,Bare,B,Single Lift,National
Standard,172.5,,,T18-19DT,M,67.5,Bare,D,Single Lift,National
Declan Templeton,110,27/04/2025,East Midlands,T18-19DT,M,75,Bare,B,Single Lift,National
Dec Templeton,207.5,27/07/2025,East Midlands,T18-19DT,M,75,Bare,D,Single Lift,National
William Hall,140,05/05/2024,Nottingham,T18-19DT,M,82.5,Bare,B,Single Lift,National
Standard,205,,,T18-19DT,M,82.5,Bare,D,Single Lift,National
Standard,112.5,,,T18-19DT,M,90,Bare,B,Single Lift,National
Standard,210,,,T18-19DT,M,90,Bare,D,Single Lift,National
Standard,115,,,T18-19DT,M,100,Bare,B,Single Lift,National
Standard,215,,,T18-19DT,M,100,Bare,D,Single Lift,National
Standard,120,,,T18-19DT,M,110,Bare,B,Single Lift,National
Standard,222.5,,,T18-19DT,M,110,Bare,D,Single Lift,National
Standard,122.5,,,T18-19DT,M,125,Bare,B,Single Lift,National
Standard,227.5,,,T18-19DT,M,125,Bare,D,Single Lift,National
Standard,125,,,T18-19DT,M,140,Bare,B,Single Lift,National
Standard,235,,,T18-19DT,M,140,Bare,D,Single Lift,National
Standard,130,,,T18-19DT,M,140+,Bare,B,Single Lift,National
Standard,240,,,T18-19DT,M,140+,Bare,D,Single Lift,National
Standard,60,,,Junior,M,52,Bare,B,Single Lift,National
Standard,112.5,,,Junior,M,52,Bare,D,Single Lift,National
Standard,70,,,Junior,M,56,Bare,B,Single Lift,National
Standard,130,,,Junior,M,56,Bare,D,Single Lift,National
Standard,80,,,Junior,M,60,Bare,B,Single Lift,National
Standard,147.5,,,Junior,M,60,Bare,D,Single Lift,National
Standard,97.5,,,Junior,M,67.5,Bare,B,Single Lift,National
Standard,182.5,,,Junior,M,67.5,Bare,D,Single Lift,National
Standard,112.5,,,Junior,M,75,Bare,B,Single Lift,National
Standard,210,,,Junior,M,75,Bare,D,Single Lift,National
Standard,127.5,,,Junior,M,82.5,Bare,B,Single Lift,National
Standard,237.5,,,Junior,M,82.5,Bare,D,Single Lift,National
Standard,135,,,Junior,M,90,Bare,B,Single Lift,National
Standard,250,,,Junior,M,90,Bare,D,Single Lift,National
Standard,140,,,Junior,M,100,Bare,B,Single Lift,National
Standard,260,,,Junior,M,100,Bare,D,Single Lift,National
Standard,147.5,,,Junior,M,110,Bare,B,Single Lift,National
Standard,275,,,Junior,M,110,Bare,D,Single Lift,National
Standard,155,,,Junior,M,125,Bare,B,Single Lift,National
Standard,287.5,,,Junior,M,125,Bare,D,Single Lift,National
Standard,170,,,Junior,M,140,Bare,B,Single Lift,National
Standard,315,,,Junior,M,140,Bare,D,Single Lift,National
Standard,175,,,Junior,M,140+,Bare,B,Single Lift,National
Standard,325,,,Junior,M,140+,Bare,D,Single Lift,National
Standard,75,,,JuniorDT,M,52,Bare,B,Single Lift,National
Standard,140,,,JuniorDT,M,52,Bare,D,Single Lift,National
Standard,85,,,JuniorDT,M,56,Bare,B,Single Lift,National
Standard,157.5,,,JuniorDT,M,56,Bare,D,Single Lift,National
Standard,95,,,JuniorDT,M,60,Bare,B,Single Lift,National
Standard,175,,,JuniorDT,M,60,Bare,D,Single Lift,National
Standard,110,,,JuniorDT,M,67.5,Bare,B,Single Lift,National
Standard,202.5,,,JuniorDT,M,67.5,Bare,D,Single Lift,National
Standard,120,,,JuniorDT,M,75,Bare,B,Single Lift,National
Standard,225,,,JuniorDT,M,75,Bare,D,Single Lift,National
Standard,130,,,JuniorDT,M,82.5,Bare,B,Single Lift,National
Standard,240,,,JuniorDT,M,82.5,Bare,D,Single Lift,National
Standard,132.5,,,JuniorDT,M,90,Bare,B,Single Lift,National
Standard,245,,,JuniorDT,M,90,Bare,D,Single Lift,National
Standard,135,,,JuniorDT,M,100,Bare,B,Single Lift,National
Standard,252.5,,,JuniorDT,M,100,Bare,D,Single Lift,National
Standard,140,,,JuniorDT,M,110,Bare,B,Single Lift,National
Standard,260,,,JuniorDT,M,110,Bare,D,Single Lift,National
Standard,142.5,,,JuniorDT,M,125,Bare,B,Single Lift,National
Standard,267.5,,,JuniorDT,M,125,Bare,D,Single Lift,National
Standard,147.5,,,JuniorDT,M,140,Bare,B,Single Lift,National
Standard,275,,,JuniorDT,M,140,Bare,D,Single Lift,National
Standard,150,,,JuniorDT,M,140+,Bare,B,Single Lift,National
Standard,280,,,JuniorDT,M,140+,Bare,D,Single Lift,National
Standard,62.5,,,M40-49,M,52,Bare,B,Single Lift,National
Standard,115,,,M40-49,M,52,Bare,D,Single Lift,National
Standard,72.5,,,M40-49,M,56,Bare,B,Single Lift,National
Standard,132.5,,,M40-49,M,56,Bare,D,Single Lift,National
Standard,82.5,,,M40-49,M,60,Bare,B,Single Lift,National
Standard,152.5,,,M40-49,M,60,Bare,D,Single Lift,National
Standard,100,,,M40-49,M,67.5,Bare,B,Single Lift,National
Standard,187.5,,,M40-49,M,67.5,Bare,D,Single Lift,National
Jason Pearson,125,07/09/2025,Lincoln,M40-49,M,75,Bare,B,Single Lift,National
Standard,217.5,,,M40-49,M,75,Bare,D,Single Lift,National
Standard,132.5,,,M40-49,M,82.5,Bare,B,Single Lift,National
Standard,245,,,M40-49,M,82.5,Bare,D,Single Lift,National
Standard,137.5,,,M40-49,M,90,Bare,B,Single Lift,National
Standard,257.5,,,M40-49,M,90,Bare,D,Single Lift,National
Spas Razhankov,177.5,03/08/2025,Welwyn Garden City,M40-49,M,100,Bare,B,Single Lift,National
Steven Dale,275,27/07/2025,East Midlands,M40-49,M,100,Bare,D,Single Lift,National
Steven Dale,185,26/10/2025,International Event,M40-49,M,110,Bare,B,Single Lift,National
Steven Dale,282.5,26/10/2025,International Event,M40-49,M,110,Bare,D,Single Lift,National
William Mcneil,195,07/09/2025,Lincoln,M40-49,M,125,Bare,B,Single Lift,National
Standard,295,,,M40-49,M,125,Bare,D,Single Lift,National
Standard,175,,,M40-49,M,140,Bare,B,Single Lift,National
Standard,325,,,M40-49,M,140,Bare,D,Single Lift,National
Standard,180,,,M40-49,M,140+,Bare,B,Single Lift,National
Standard,335,,,M40-49,M,140+,Bare,D,Single Lift,National
Standard,55,,,M50-59,M,52,Bare,B,Single Lift,National
Standard,102.5,,,M50-59,M,52,Bare,D,Single Lift,National
Standard,62.5,,,M50-59,M,56,Bare,B,Single Lift,National
Standard,115,,,M50-59,M,56,Bare,D,Single Lift,National
Standard,72.5,,,M50-59,M,60,Bare,B,Single Lift,National
Standard,132.5,,,M50-59,M,60,Bare,D,Single Lift,National
Standard,87.5,,,M50-59,M,67.5,Bare,B,Single Lift,National
Standard,165,,,M50-59,M,67.5,Bare,D,Single Lift,National
Standard,102.5,,,M50-59,M,75,Bare,B,Single Lift,National
Standard,190,,,M50-59,M,75,Bare,D,Single Lift,National
Standard,115,,,M50-59,M,82.5,Bare,B,Single Lift,National
Standard,215,,,M50-59,M,82.5,Bare,D,Single Lift,National
Standard,120,,,M50-59,M,90,Bare,B,Single Lift,National
Standard,225,,,M50-59,M,90,Bare,D,Single Lift,National
Standard,125,,,M50-59,M,100,Bare,B,Single Lift,National
Les Attewell,300,07/09/2025,Lincoln,M50-59,M,100,Bare,D,Single Lift,National
Piotr Strzala,190,04/05/2025,North West,M50-59,M,110,Bare,B,Single Lift,National
Standard,245,,,M50-59,M,110,Bare,D,Single Lift,National
PJ Carter,152.5,07/09/2025,Lincoln,M50-59,M,125,Bare,B,Single Lift,National
Standard,260,,,M50-59,M,125,Bare,D,Single Lift,National
Standard,152.5,,,M50-59,M,140,Bare,B,Single Lift,National
Standard,285,,,M50-59,M,140,Bare,D,Single Lift,National
Standard,157.5,,,M50-59,M,140+,Bare,B,Single Lift,National
Standard,295,,,M50-59,M,140+,Bare,D,Single Lift,National
Standard,47.5,,,M60-69,M,52,Bare,B,Single Lift,National
Standard,90,,,M60-69,M,52,Bare,D,Single Lift,National
Standard,55,,,M60-69,M,56,Bare,B,Single Lift,National
Standard,102.5,,,M60-69,M,56,Bare,D,Single Lift,National
Standard,62.5,,,M60-69,M,60,Bare,B,Single Lift,National
Standard,117.5,,,M60-69,M,60,Bare,D,Single Lift,National
Standard,77.5,,,M60-69,M,67.5,Bare,B,Single Lift,National
Standard,145,,,M60-69,M,67.5,Bare,D,Single Lift,National
Standard,90,,,M60-69,M,75,Bare,B,Single Lift,National
Standard,167.5,,,M60-69,M,75,Bare,D,Single Lift,National
Standard,102.5,,,M60-69,M,82.5,Bare,B,Single Lift,National
Kevin Payne,212.5,11/05/2025,Nottingham,M60-69,M,82.5,Bare,D,Single Lift,National
Mike Eve,110,07/09/2025,Lincoln,M60-69,M,90,Bare,B,Single Lift,National
Standard,197.5,,,M60-69,M,90,Bare,D,Single Lift,National
Standard,110,,,M60-69,M,100,Bare,B,Single Lift,National
Standard,205,,,M60-69,M,100,Bare,D,Single Lift,National
Standard,117.5,,,M60-69,M,110,Bare,B,Single Lift,National
Standard,217.5,,,M60-69,M,110,Bare,D,Single Lift,National
Standard,122.5,,,M60-69,M,125,Bare,B,Single Lift,National
Standard,227.5,,,M60-69,M,125,Bare,D,Single Lift,National
Standard,135,,,M60-69,M,140,Bare,B,Single Lift,National
Standard,250,,,M60-69,M,140,Bare,D,Single Lift,National
Standard,140,,,M60-69,M,140+,Bare,B,Single Lift,National
Standard,257.5,,,M60-69,M,140+,Bare,D,Single Lift,National
Standard,77.5,,,M40-49DT,M,52,Bare,B,Single Lift,National
Standard,145,,,M40-49DT,M,52,Bare,D,Single Lift,National
Standard,87.5,,,M40-49DT,M,56,Bare,B,Single Lift,National
Standard,162.5,,,M40-49DT,M,56,Bare,D,Single Lift,National
Standard,97.5,,,M40-49DT,M,60,Bare,B,Single Lift,National
Standard,180,,,M40-49DT,M,60,Bare,D,Single Lift,National
Standard,112.5,,,M40-49DT,M,67.5,Bare,B,Single Lift,National
Standard,207.5,,,M40-49DT,M,67.5,Bare,D,Single Lift,National
Standard,125,,,M40-49DT,M,75,Bare,B,Single Lift,National
Standard,230,,,M40-49DT,M,75,Bare,D,Single Lift,National
Standard,132.5,,,M40-49DT,M,82.5,Bare,B,Single Lift,National
Standard,245,,,M40-49DT,M,82.5,Bare,D,Single Lift,National
Standard,135,,,M40-49DT,M,90,Bare,B,Single Lift,National
Standard,252.5,,,M40-49DT,M,90,Bare,D,Single Lift,National
Jacek Szast,145,03/08/2025,Welwyn Garden City,M40-49DT,M,100,Bare,B,Single Lift,National
Standard,260,,,M40-49DT,M,100,Bare,D,Single Lift,National
Standard,142.5,,,M40-49DT,M,110,Bare,B,Single Lift,National
Standard,267.5,,,M40-49DT,M,110,Bare,D,Single Lift,National
Sergej Naumenko,155,04/27/2025,East Midlands,M40-49DT,M,125,Bare,B,Single Lift,National
Standard,275,,,M40-49DT,M,125,Bare,D,Single Lift,National
Standard,152.5,,,M40-49DT,M,140,Bare,B,Single Lift,National
Standard,280,,,M40-49DT,M,140,Bare,D,Single Lift,National
Standard,155,,,M40-49DT,M,140+,Bare,B,Single Lift,National
Standard,287.5,,,M40-49DT,M,140+,Bare,D,Single Lift,National
Standard,70,,,M50-59DT,M,52,Bare,B,Single Lift,National
Standard,127.5,,,M50-59DT,M,52,Bare,D,Single Lift,National
Standard,77.5,,,M50-59DT,M,56,Bare,B,Single Lift,National
Standard,142.5,,,M50-59DT,M,56,Bare,D,Single Lift,National
Standard,85,,,M50-59DT,M,60,Bare,B,Single Lift,National
Standard,160,,,M50-59DT,M,60,Bare,D,Single Lift,National
Standard,97.5,,,M50-59DT,M,67.5,Bare,B,Single Lift,National
Michael Parkinson,183,07/09/2025,Lincoln,M50-59DT,M,67.5,Bare,D,Single Lift,National
Standard,110,,,M50-59DT,M,75,Bare,B,Single Lift,National
Standard,202.5,,,M50-59DT,M,75,Bare,D,Single Lift,National
Neil Jones,135,27/07/2025,East Midlands,M50-59DT,M,82.5,Bare,B,Single Lift,National
Standard,215,,,M50-59DT,M,82.5,Bare,D,Single Lift,National
Standard,120,,,M50-59DT,M,90,Bare,B,Single Lift,National
Standard,222.5,,,M50-59DT,M,90,Bare,D,Single Lift,National
John MacDonald,145,07/09/2025,Lincoln,M50-59DT,M,100,Bare,B,Single Lift,National
Standard,227.5,,,M50-59DT,M,100,Bare,D,Single Lift,National
Standard,125,,,M50-59DT,M,110,Bare,B,Single Lift,National
Standard,235,,,M50-59DT,M,110,Bare,D,Single Lift,National
Standard,130,,,M50-59DT,M,125,Bare,B,Single Lift,National
Standard,240,,,M50-59DT,M,125,Bare,D,Single Lift,National
Standard,132.5,,,M50-59DT,M,140,Bare,B,Single Lift,National
Standard,245,,,M50-59DT,M,140,Bare,D,Single Lift,National
Standard,135,,,M50-59DT,M,140+,Bare,B,Single Lift,National
Standard,252.5,,,M50-59DT,M,140+,Bare,D,Single Lift,National
Standard,60,,,M60-69DT,M,52,Bare,B,Single Lift,National
Standard,112.5,,,M60-69DT,M,52,Bare,D,Single Lift,National
Standard,67.5,,,M60-69DT,M,56,Bare,B,Single Lift,National
Standard,127.5,,,M60-69DT,M,56,Bare,D,Single Lift,National
Standard,75,,,M60-69DT,M,60,Bare,B,Single Lift,National
Standard,140,,,M60-69DT,M,60,Bare,D,Single Lift,National
Standard,87.5,,,M60-69DT,M,67.5,Bare,B,Single Lift,National
Standard,160,,,M60-69DT,M,67.5,Bare,D,Single Lift,National
Standard,95,,,M60-69DT,M,75,Bare,B,Single Lift,National
Standard,177.5,,,M60-69DT,M,75,Bare,D,Single Lift,National
Standard,102.5,,,M60-69DT,M,82.5,Bare,B,Single Lift,National
Standard,190,,,M60-69DT,M,82.5,Bare,D,Single Lift,National
Standard,105,,,M60-69DT,M,90,Bare,B,Single Lift,National
Standard,195,,,M60-69DT,M,90,Bare,D,Single Lift,National
Standard,130,,,M60-69DT,M,100,Bare,B,Single Lift,National
Standard,200,,,M60-69DT,M,100,Bare,D,Single Lift,National
Marc Giles,157.5,28/09/2025,South Midlands,M60-69DT,M,110,Bare,B,Single Lift,National
Standard,205,,,M60-69DT,M,110,Bare,D,Single Lift,National
Standard,112.5,,,M60-69DT,M,125,Bare,B,Single Lift,National
Standard,210,,,M60-69DT,M,125,Bare,D,Single Lift,National
Standard,117.5,,,M60-69DT,M,140,Bare,B,Single Lift,National
Standard,217.5,,,M60-69DT,M,140,Bare,D,Single Lift,National
Standard,120,,,M60-69DT,M,140+,Bare,B,Single Lift,National
Standard,222.5,,,M60-69DT,M,140+,Bare,D,Single Lift,National
Kestutis Olbikas,105,27/07/2025,East Midlands,M40-49-Para,M,90,Bare,B,Single Lift,National
Standard,45,,,Open,F,44,Bare,B,Single Lift,National
Standard,90,,,Open,F,44,Bare,D,Single Lift,National
Standard,55,,,Open,F,48,Bare,B,Single Lift,National
Standard,110,,,Open,F,48,Bare,D,Single Lift,National
Standard,55,,,Open,F,52,Bare,B,Single Lift,National
Standard,115,,,Open,F,52,Bare,D,Single Lift,National
Standard,62.5,,,Open,F,56,Bare,B,Single Lift,National
Standard,127.5,,,Open,F,56,Bare,D,Single Lift,National
Standard,67.5,,,Open,F,60,Bare,B,Single Lift,National
Standard,137.5,,,Open,F,60,Bare,D,Single Lift,National
Briony Duerden,76,09/03/2025,East Coast,Open,F,67.5,Bare,B,Single Lift,National
Briony Duerden,165,09/03/2025,East Coast,Open,F,67.5,Bare,D,Single Lift,National
Standard,77.5,,,Open,F,75,Bare,B,Single Lift,National
Standard,160,,,Open,F,75,Bare,D,Single Lift,National
Standard,82.5,,,Open,F,82.5,Bare,B,Single Lift,National
Katie Holding,171,13/07/2025,East Coast,Open,F,82.5,Bare,D,Single Lift,National
Standard,90,,,Open,F,90,Bare,B,Single Lift,National
Standard,182.5,,,Open,F,90,Bare,D,Single Lift,National
Standard,92.5,,,Open,F,100,Bare,B,Single Lift,National
Standard,190,,,Open,F,100,Bare,D,Single Lift,National
